tweet_text,time,wait_time
kingston wait time - 1 hour w/ wsp boarding passes,2017-10-01 23:05 +0000,1.0
update - no extended wait departing kingston,2017-10-02 03:45 +0000,0.0
kingston terminal - 1 hour wait -  no wsp boarding passes,2017-10-07 18:10 +0000,1.0
update - no extended wait departing kingston,2017-10-08 02:55 +0000,0.0
kingston terminal - 1 hour wait -  no wsp boarding passes,2017-10-08 19:30 +0000,1.0
update - kingston terminal - 2 hour wait -  no wsp boarding passes,2017-10-09 00:25 +0000,2.0
update - kingston terminal - 1 hour wait -  no wsp boarding passes,2017-10-09 02:30 +0000,1.0
update - no extended wait departing kingston,2017-10-09 03:00 +0000,0.0
extended wait in kingston - 1 hour - no wsp pass required,2017-10-13 22:42 +0000,1.0
update - no extended wait in kingston,2017-10-14 03:05 +0000,0.0
kingston terminal - 1 hour wait -  no wsp boarding passes,2017-10-14 18:35 +0000,1.0
update - no extended wait in kingston,2017-10-14 21:00 +0000,0.0
