tweet_text,time,wait_time
edmonds terminal status - two hour wait,2019-08-03 00:45 +0000,2.0
edmonds terminal status - one hour wait,2019-08-03 15:05 +0000,1.0
update: edmonds terminal status - two hour wait,2019-08-03 16:25 +0000,2.0
update: edmonds terminal status - three hour wait,2019-08-03 19:00 +0000,3.0
no extended wait for drivers departing edmonds or kingston,2019-08-03 23:20 +0000,0.0
edmonds terminal status - one hour wait,2019-08-05 20:05 +0000,1.0
update - edmonds terminal status - two hour wait,2019-08-06 00:00 +0000,2.0
no extended wait for drivers departing edmonds,2019-08-06 01:15 +0000,0.0
edmonds terminal status - one hour wait,2019-08-06 19:35 +0000,1.0
"no extended wait in edmonds and kingston, vessels on schedule",2019-08-07 01:35 +0000,0.0
edmonds terminal status - one hour wait,2019-08-08 19:45 +0000,1.0
two hour wait in edmonds - one hour wait in kingston,2019-08-08 22:45 +0000,2.0
update - one hour wait for drivers departing edmonds and kingston,2019-08-09 01:50 +0000,1.0
"no extended wait departing edmonds and kingston, late vessel",2019-08-09 03:20 +0000,0.0
edmonds terminal status - one hour wait,2019-08-09 17:55 +0000,1.0
update: edmonds terminal status - two hour wait,2019-08-09 18:40 +0000,2.0
update: edmonds terminal status - three hour wait,2019-08-09 19:15 +0000,3.0
no extended wait for drivers departing edmonds or kingston,2019-08-10 02:00 +0000,0.0
edmonds terminal status - one hour wait,2019-08-10 16:40 +0000,1.0
no extended wait for drivers departing edmonds,2019-08-10 23:45 +0000,0.0
edmonds terminal status - one hour wait,2019-08-11 21:10 +0000,1.0
no extended wait for drivers departing edmonds,2019-08-12 00:35 +0000,0.0
edmonds terminal status - one hour wait,2019-08-12 19:20 +0000,1.0
